Año,Queja,Fecha de recepción,Concepto de archivo,Autoridad presunta responsable,Tipo de Autoridad,Supuesta violación,Municipio o población
2005,310,2/11/2005,Improcedencia,Ayuntamiento de Guadalajara,Ayuntamiento,Prestación indebida del servicio público,Guadalajara
2005,310,2/11/2005,Improcedencia,Ayuntamiento de Guadalajara,Ayuntamiento,Hostigamiento sexual,Guadalajara
2005,476,3/3/2005,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Ejercicio indebido de la función pública,Zapopan
2005,476,3/3/2005,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Prestación indebida del servicio público,Zapopan
2005,476,3/3/2005,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Zapopan
2005,476,3/3/2005,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Zapopan
2005,518,3/8/2005,Por no tratarse de violación de D. H.,Ayuntamiento de Tlajomulco de Zúñiga,Ayuntamiento,Hostigamiento sexual,Tlajomulco De Zúñiga
2005,518,3/8/2005,Por no tratarse de violación de D. H.,Ayuntamiento de Tlajomulco de Zúñiga,Ayuntamiento,Violación al derecho a la libertad sexual,Tlajomulco De Zúñiga
2005,611,3/18/2005,Incompetencia,Ayuntamiento de Guadalajara,Ayuntamiento,Hostigamiento sexual,Guadalajara
2005,611,3/18/2005,Incompetencia,Ayuntamiento de Guadalajara,Ayuntamiento,Prestación indebida del servicio público,Guadalajara
2005,732,4/5/2005,Por no tratarse de violación de D. H.,Dirección de Seguridad Pública de Chapala,Dirección de Seguridad Municipal,Hostigamiento sexual,Chapala
2005,732,4/5/2005,Por no tratarse de violación de D. H.,Dirección de Seguridad Pública de Chapala,Dirección de Seguridad Municipal,Violación al derecho a la igualdad y al trato digno,Chapala
2005,762,4/8/2005,Conciliación,Secretaría General de Gobierno del Estado de Jalisco,Secretaría General de Gobierno del Estado de Jalisco,Prestación indebida del servicio público,Guadalajara
2005,762,4/8/2005,Conciliación,Secretaría General de Gobierno del Estado de Jalisco,Secretaría General de Gobierno del Estado de Jalisco,Hostigamiento sexual,Guadalajara
2005,797,4/13/2005,Desistimiento,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Prestación indebida del servicio público,Puerto Vallarta
2005,797,4/13/2005,Desistimiento,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Puerto Vallarta
2005,913,4/26/2005,Desistimiento,"Dirección General de Seguridad Pública, Protección Civil y Bomberos de Zapopan",Direcciónde Seguridad Municipal,Prestación indebida del servicio público,Zapopan
2005,913,4/26/2005,Desistimiento,"Dirección General de Seguridad Pública, Protección Civil y Bomberos de Zapopan",Direcciónde Seguridad Municipal,Detención arbitraria,Zapopan
2005,913,4/26/2005,Desistimiento,"Dirección General de Seguridad Pública, Protección Civil y Bomberos de Zapopan",Direcciónde Seguridad Municipal,Abuso sexual,Zapopan
2005,1016,5/12/2005,Conciliación,Dirección de Seguridad Pública de Guadalajara,Dirección de Seguridad Municipal,Detención arbitraria,Guadalajara
2005,1016,5/12/2005,Conciliación,Dirección de Seguridad Pública de Guadalajara,Dirección de Seguridad Municipal,Lesiones,Guadalajara
2005,1016,5/12/2005,Conciliación,Dirección de Seguridad Pública de Guadalajara,Dirección de Seguridad Municipal,Abuso sexual,Guadalajara
2005,1016,5/12/2005,Conciliación,Dirección de Seguridad Pública de Guadalajara,Dirección de Seguridad Municipal,Amenazas,Guadalajara
2005,1016,5/12/2005,Conciliación,Dirección de Seguridad Pública de Guadalajara,Dirección de Seguridad Municipal,Amenazas,Guadalajara
2005,1016,5/12/2005,Conciliación,Dirección de Seguridad Pública de Guadalajara,Dirección de Seguridad Municipal,Amenazas,Guadalajara
2005,1016,5/12/2005,Conciliación,Dirección de Seguridad Pública de Guadalajara,Dirección de Seguridad Municipal,Amenazas,Guadalajara
2005,1357,6/16/2005,Desistimiento,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Tlajomulco De Zúñiga
2005,1680,7/27/2005,Por no tratarse de violación de D. H.,Ayuntamiento de Tequila,Ayuntamiento,Hostigamiento sexual,Tequila
2005,1753,8/4/2005,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Ixtapa
2005,1753,8/4/2005,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Prestación indebida del servicio público,Ixtapa
2005,1753,8/4/2005,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Ixtapa
2005,1753,8/4/2005,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la educación,Ixtapa
2005,1958,8/25/2005,Acumulación,Dirección de Seguridad Pública de El Salto,Dirección de Seguridad Municipal,Lesiones,El Salto
2005,1958,8/25/2005,Acumulación,Dirección de Seguridad Pública de El Salto,Dirección de Seguridad Municipal,Hostigamiento sexual,El Salto
2005,1961,8/25/2005,Desistimiento,Dirección de Seguridad Pública de Tlaquepaque,Dirección de Seguridad Municipal,Ataque a la propiedad privada,Tlaquepaque
2005,1961,8/25/2005,Desistimiento,Dirección de Seguridad Pública de Tlaquepaque,Dirección de Seguridad Municipal,Ejercicio indebido de la función pública,Tlaquepaque
2005,1961,8/25/2005,Desistimiento,Dirección de Seguridad Pública de Tlaquepaque,Dirección de Seguridad Municipal,Cateos y visitas domiciliarias ilegales,Tlaquepaque
2005,1961,8/25/2005,Desistimiento,Dirección de Seguridad Pública de Tlaquepaque,Dirección de Seguridad Municipal,Hostigamiento sexual,Tlaquepaque
2005,2013,9/1/2005,Archivo definitivo,Procuraduría General de Justicia del Estado,Procuraduría General de Justicia del Estado,Intimidación,Tepatitlán De Morelos
