Nivel Educativo,Año de impartición,Municipio,# alumnos beneficiados,,
Especial,2019,Guadalajara,54,,
Especial,2020,Guadalajara,0,,
Especial,2021,Guadalajara,0,,
Preescolar,2019,El Salto,0,,
Preescolar,2020,El Salto,47,,
Preescolar,2021,El Salto,0,,
Preescolar,2019,Guadalajara,670,,
Preescolar,2020,Guadalajara,0,,
Preescolar,2021,Guadalajara,0,,
Preescolar,2019,Tlaquepaque,0,,
Preescolar,2020,Tlaquepaque,211,,
Preescolar,2021,Tlaquepaque,61,,
Preescolar,2019,Tlajomulco,168,,
Preescolar,2020,Tlajomulco,0,,
Preescolar,2021,Tlajomulco,24,,
Preescolar,2019,Zapopan,248,,
Preescolar,2020,Zapopan,22,,
Preescolar,2021,Zapopan,173,,
Primaria,2019,Guadalajara,727,,
Primaria,2020,Guadalajara,515,,
Primaria,2021,Guadalajara,82,,
Primaria,2019,Tlaquepaque,124,,
Primaria,2020,Tlaquepaque,0,,
Primaria,2021,Tlaquepaque,0,,
Primaria,2019,Tala,0,,
Primaria,2020,Tala,57,,
Primaria,2021,Tala,0,,
Primaria,2019,Tapalpa,0,,
Primaria,2020,Tapalpa,0,,
Primaria,2021,Tapalpa,14,,
Primaria,2019,Tlajomulco,0,,
Primaria,2020,Tlajomulco,0,,
Primaria,2021,Tlajomulco,104,,
Primaria,2019,Tonalá,0,,
Primaria,2020,Tonalá,0,,
Primaria,2021,Tonalá,103,,
Primaria,2019,Zapopan,846,,
Primaria,2020,Zapopan,54,,
Primaria,2021,Zapopan,148,,
Secundaria,2019,Guadalajara,2041,,
Secundaria,2020,Guadalajara,288,,813
Secundaria,2021,Guadalajara,0,,
Secundaria,2019,Tlaquepaque,195,,
Secundaria,2020,Tlaquepaque,0,,
Secundaria,2021,Tlaquepaque,0,,
Secundaria,2019,Tlajomulco,1279,,
Secundaria,2020,Tlajomulco,0,,
Secundaria,2021,Tlajomulco,283,,
Secundaria,2019,Tonalá,0,,
Secundaria,2020,Tonalá,0,,
Secundaria,2021,Tonalá,80,,
Secundaria,2019,Zapotlanejo,0,,
Secundaria,2020,Zapotlanejo,0,,
Secundaria,2021,Zapotlanejo,67,,
Secundaria,2019,Zapopan,1750,,
Secundaria,2020,Zapopan,95,,
Secundaria,2021,Zapopan,0,,
